70-01-01/03-00-00.000,emp,emp,emp,emp,emp,emp,emp,emp
24-01-23/17-17-23.023,7.213,7.214,7.7,51.3,25.91,25.92,3.852,132.156
24-01-23/17-17-25.893,7.207,7.209,8.2,28.0,25.90,25.91,33.554,66.537
24-01-23/17-17-29.107,7.209,7.212,1.4,4.1,25.90,25.91,50.616,4.619
24-01-23/17-17-31.797,7.212,7.213,23.6,78.1,25.91,25.92,11.754,29.691
24-01-23/17-17-34.981,7.207,7.210,32.2,13.8,25.90,25.91,33.554,32.955
24-01-23/17-17-37.860,7.207,7.208,31.9,3.5,25.90,25.91,33.554,10.446
24-01-23/17-17-40.768,7.204,7.206,220.4,21.0,25.88,25.89,5.277,9.828
24-01-23/17-17-44.011,7.204,7.206,191.4,10.5,25.88,25.89,3.243,8.506
24-01-23/17-17-46.635,7.208,7.210,6.9,2.9,25.90,25.91,33.369,3.074
24-01-23/17-17-49.949,7.204,7.206,33.3,10.5,25.89,25.90,16.310,9.254
24-01-23/17-17-52.765,7.205,7.207,25.6,16.4,25.90,25.91,32.474,3.074
24-01-23/17-17-55.796,7.207,7.209,6.9,10.5,25.91,25.92,0.203,124.740
24-01-23/17-17-58.686,7.206,7.209,7.2,3.5,25.90,25.91,4.923,0.772
24-01-23/17-18-02.063,7.207,7.208,13.8,34.1,25.90,25.91,2.689,10.265
24-01-23/17-18-04.648,7.210,7.213,27.6,23.5,25.90,25.91,13.645,12.840
24-01-23/17-18-07.670,7.209,7.212,27.6,1.2,25.90,25.91,18.683,10.910
24-01-23/17-18-10.758,7.209,7.212,1.3,0.5,25.91,25.92,8.974,21.739
24-01-23/17-18-13.596,7.210,7.213,1.9,5.8,25.90,25.91,45.522,2.241
24-01-23/17-18-16.898,7.210,7.213,1.9,7.5,25.90,25.91,33.164,6.360
24-01-23/17-18-20.029,7.211,7.214,28.6,53.4,25.90,25.91,22.119,10.978
24-01-23/17-18-22.795,7.212,7.214,41.3,16.4,25.92,25.93,14.329,44.968
24-01-23/17-18-25.755,7.219,7.220,41.1,3.5,25.94,25.95,5.467,14.196
24-01-23/17-18-28.645,7.228,7.231,1.2,13.8,25.94,25.95,87.080,0.649
24-01-23/17-18-31.770,7.229,7.231,22.3,10.5,25.94,25.95,48.143,44.063
24-01-23/17-18-34.996,7.226,7.229,1.4,33.7,25.95,25.96,7.970,21.899
24-01-23/17-18-37.747,7.221,7.223,5.0,10.5,25.92,25.93,57.717,22.438
24-01-23/17-18-41.009,7.220,7.223,1.3,11.1,25.93,25.94,3.072,25.530
24-01-23/17-18-44.089,7.223,7.225,10.0,7.5,25.93,25.94,28.466,2.879
24-01-23/17-18-46.727,7.223,7.225,3.0,3.5,25.93,25.94,79.675,12.037
24-01-23/17-18-49.875,7.225,7.226,6.9,7.0,25.94,25.95,5.781,27.603
24-01-23/17-18-52.780,7.225,7.226,20.7,3.5,25.94,25.95,15.299,5.473
24-01-23/17-18-55.979,7.225,7.227,32.5,7.0,25.93,25.94,116.767,3.928
24-01-23/17-18-58.720,7.224,7.227,29.5,10.5,25.93,25.94,118.154,3.071
24-01-23/17-19-01.704,7.225,7.226,55.5,21.0,25.93,25.94,118.154,3.075
24-01-23/17-19-04.995,7.230,7.232,22.4,18.6,25.95,25.96,25.614,16.120
24-01-23/17-19-07.887,7.230,7.232,2.1,8.1,25.96,25.97,6.372,11.457
24-01-23/17-19-10.714,7.231,7.232,5.2,70.6,25.96,25.97,68.809,9.711
24-01-23/17-19-13.929,7.223,7.226,8.5,99.4,25.95,25.96,6.616,23.387
24-01-23/17-19-16.650,7.219,7.221,32.0,10.5,25.94,25.95,2.684,23.542
24-01-23/17-19-20.078,7.220,7.222,0.4,23.3,25.94,25.95,2.683,30.567
24-01-23/17-19-22.833,7.225,7.227,6.9,10.5,25.94,25.95,19.745,3.460
24-01-23/17-19-25.642,7.218,7.221,13.0,30.3,25.93,25.94,6.843,10.451
24-01-23/17-19-28.895,7.219,7.221,2.0,21.0,25.93,25.94,8.178,10.451
24-01-23/17-19-31.885,7.219,7.221,19.2,17.5,25.94,25.95,4.254,94.050
24-01-23/17-19-34.875,7.219,7.221,39.9,17.5,25.93,25.94,48.563,8.510
24-01-23/17-19-37.559,7.219,7.221,46.8,18.9,25.93,25.94,48.563,4.702
24-01-23/17-19-40.732,7.221,7.222,0.8,8.5,25.94,25.95,12.153,37.971
24-01-23/17-19-42.895,7.221,7.222,39.4,12.0,25.94,25.95,12.153,37.971
24-01-23/17-19-46.684,7.221,7.222,38.0,19.0,25.94,25.95,12.153,21.211
24-01-23/17-19-49.373,7.221,7.223,38.0,14.0,25.94,25.95,29.215,0.141
24-01-23/17-19-52.887,7.221,7.222,39.9,17.5,25.94,25.95,11.882,0.141
24-01-23/17-19-55.310,7.221,7.222,39.9,17.5,25.94,25.95,11.882,0.141
24-01-23/17-19-58.639,7.219,7.220,22.7,3.1,25.94,25.95,11.882,0.141
24-01-23/17-20-01.883,7.219,7.222,5.0,22.1,25.94,25.95,13.962,0.141
24-01-23/17-20-04.933,7.217,7.219,123.6,41.7,25.93,25.94,7.316,10.709
24-01-23/17-20-07.595,7.217,7.219,57.9,24.9,25.93,25.94,7.316,12.323
24-01-23/17-20-10.714,7.221,7.224,1.9,55.1,25.94,25.95,11.742,70.332
24-01-23/17-20-13.455,7.219,7.221,36.2,2.2,25.94,25.95,8.466,63.207
24-01-23/17-20-16.497,7.222,7.224,4.4,1.4,25.94,25.95,10.828,68.988
